"Index","earning_a","earning_u","gnp_a","pricedef_a","unemp_a","earningdefl_a"
"2011-01-01",18.8166666666667,18.86,15936.616,97.279,8.8,19.3429894084712
"2011-04-01",18.9066666666667,18.9166666666667,16049.711,97.924,8.43333333333333,19.3074901624389
"2011-07-01",18.9166666666667,18.8933333333333,16070.008,98.552,8.46666666666667,19.1946045404118
"2011-10-01",18.93,18.9033333333333,16270.304,98.702,8.33333333333333,19.1789426759336
"2012-01-01",18.9933333333333,19.04,16378.884,99.323,7.86666666666667,19.1227946531351
"2012-04-01",19.0366666666667,19.0633333333333,16427.383,99.714,7.6,19.0912676922665
"2012-07-01",19.0766666666667,19.0433333333333,16449.057,100.223,7.56666666666667,19.0342203552744
"2012-10-01",19.0666666666667,19.05,16461.908,100.736,7.26666666666667,18.92736128759
"2013-01-01",19.14,19.2033333333333,16594.788,101.138,7.26666666666667,18.9246376238407
"2013-04-01",19.2166666666667,19.2333333333333,16628.331,101.43,6.93333333333333,18.945742548227
"2013-07-01",19.2566666666667,19.2266666666667,16769.046,101.917,6.8,18.8944598709407
"2013-10-01",19.33,19.3133333333333,16897.175,102.514,6.66666666666667,18.8559611370154
"2014-01-01",19.44,19.4933333333333,16861.046,102.889,6.23333333333333,18.8941480624751
"2014-04-01",19.5,19.5133333333333,17060.932,103.528,6,18.835484120238
"2014-07-01",19.5466666666667,19.5233333333333,17285.426,104.015,5.63333333333333,18.7921613869794
"2014-10-01",19.6133333333333,19.5866666666667,17333.024,104.213,5.43333333333333,18.8204286733261
"2015-01-01",19.6433333333333,19.6833333333333,17483.265,104.115,5.23333333333333,18.8669580111735
"2015-04-01",19.7666666666667,19.7666666666667,17612.123,104.704,5.03333333333333,18.8786165444173
"2015-07-01",19.9,19.8633333333333,17652.519,105.082,4.9,18.9375915951352
"2015-10-01",20.04,20.0133333333333,17685.177,105.112,4.6,19.0653778826395
"2016-01-01",20.1133333333333,20.14,17723.266,105.022,4.6,19.1515428513391
"2016-04-01",20.2866666666667,20.2833333333333,17829.06,105.745,4.56666666666667,19.1845162103803
"2016-07-01",20.46,20.42,17898.399,106.141,4.43333333333333,19.2762457485797
"2016-10-01",20.56,20.56,18020.367,106.691,4.5,19.2706038934868
